Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/26/2022,01/28/2022,SHAWS OSCO 2584,Groceries,Sale,-54.68,
01/27/2022,01/28/2022,BENEVITY DONATIONS,Gifts & Donations,Sale,-100.00,
01/27/2022,01/28/2022,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
01/27/2022,01/28/2022,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
01/27/2022,01/28/2022,HUDSON ROAD AUTOMOTIVE,Automotive,Sale,-294.57,
01/27/2022,01/28/2022,338213 LOYAL COMPANION,Shopping,Sale,-12.21,
01/26/2022,01/27/2022,AMZN Mktp US*QA9Y87Y93,Shopping,Sale,-7.86,
01/26/2022,01/27/2022,CVS/PHARMACY #00973,Health & Wellness,Sale,-19.90,
01/25/2022,01/26/2022,USPS PO 2479390775,Shopping,Sale,-8.95,
01/24/2022,01/25/2022,EMERSON HOSPITAL PARKING,Travel,Sale,-7.00,
01/24/2022,01/25/2022,CVS/PHARMACY #00706,Health & Wellness,Sale,-56.90,
01/24/2022,01/25/2022,USPS PO 2400510720,Shopping,Sale,-8.95,
01/24/2022,01/25/2022,ROCHE BROTHERS112,Groceries,Sale,-64.97,
01/23/2022,01/24/2022,TARGET        00025700,Shopping,Sale,-61.11,
01/21/2022,01/24/2022,GRABULL INC,Food & Drink,Sale,-47.05,
01/21/2022,01/23/2022,AMZN Mktp US*CJ3CJ7NK3,Shopping,Sale,-37.18,
01/22/2022,01/23/2022,AMZN Mktp US*OA58G3QL3,Shopping,Sale,-66.64,
01/22/2022,01/23/2022,LANDS END,Shopping,Sale,-5.39,
01/21/2022,01/23/2022,PAYPAL *DEPALOCOFFE,Groceries,Sale,-79.90,
01/22/2022,01/23/2022,AMZN Mktp US*WY0Z72GP3,Shopping,Sale,-50.46,
01/20/2022,01/21/2022,AMZN Mktp US*7X7648TZ3,Shopping,Sale,-22.00,
01/20/2022,01/21/2022,AMZN Mktp US*YG3ZL3A83,Shopping,Sale,-95.61,
01/19/2022,01/21/2022,SHAWS OSCO 2584,Groceries,Sale,-33.41,
01/21/2022,01/21/2022,AMZN Mktp US*H85GB2623,Shopping,Sale,-161.50,
01/17/2022,01/19/2022,SHAWS OSCO 2584,Groceries,Sale,-46.19,
01/18/2022,01/19/2022,BJS FUEL #9209,Gas,Sale,-35.08,
01/18/2022,01/19/2022,BJS WHOLESALE #0209,Shopping,Sale,-124.57,
01/17/2022,01/18/2022,TIGERCHEF,Home,Sale,-24.82,
01/15/2022,01/17/2022,SHAWS OSCO 2584,Groceries,Sale,-71.11,
01/16/2022,01/17/2022,LOWES #02375*,Home,Sale,-210.35,
01/16/2022,01/17/2022,LOWES #02375*,Home,Return,71.19,
01/14/2022,01/16/2022,INNOVATIONS HAIR SAL,Personal,Sale,-66.00,
01/13/2022,01/16/2022,SHAWS OSCO 2584,Groceries,Sale,-59.42,
01/13/2022,01/14/2022,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-51.96,
01/13/2022,01/14/2022,RED GINGER,Food & Drink,Sale,-44.92,
01/12/2022,01/13/2022,LinkedIn 7442799864,Bills & Utilities,Sale,-31.86,
01/13/2022,01/13/2022,Microsoft*OneDrive Standa,Shopping,Sale,-1.99,
01/10/2022,01/12/2022,SHAWS OSCO 2584,Groceries,Sale,-153.76,
01/11/2022,01/11/2022,ELEC SUPPLI,Home,Sale,-19.85,
01/10/2022,01/11/2022,MARKET BASKET 00000877,Groceries,Sale,-12.81,
01/10/2022,01/11/2022,COVERSANDALL,Home,Sale,-186.73,
01/11/2022,01/11/2022,LANDS END,Shopping,Sale,-134.75,
01/11/2022,01/11/2022,Payment Thank You - Bill,,Payment,5345.93,
01/08/2022,01/10/2022,SHAWS OSCO 2584,Groceries,Sale,-36.22,
01/07/2022,01/09/2022,GULF OIL 92033926,Gas,Sale,-51.78,
01/04/2022,01/06/2022,BJS WHOLESALE CLUB,Shopping,Sale,-31.86,
01/02/2022,01/04/2022,GENUINE REPLACEMENT PARTS,Home,Sale,-102.50,
12/31/2021,01/02/2022,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-138.66,
12/29/2021,12/31/2021,SHAWS OSCO 2584,Groceries,Sale,-132.03,
12/29/2021,12/30/2021,BJS FUEL #9209,Gas,Sale,-36.51,
12/30/2021,12/30/2021,JPAULJONES  L.P.,Shopping,Sale,-180.73,
12/29/2021,12/30/2021,BJS WHOLESALE #0209,Shopping,Sale,-47.82,
12/29/2021,12/30/2021,BJS WHOLESALE CLUB,Shopping,Sale,-104.19,
12/29/2021,12/30/2021,BJS WHOLESALE CLUB,Shopping,Sale,-78.58,
12/28/2021,12/29/2021,CVS/PHARMACY #00706,Health & Wellness,Sale,-35.88,
12/28/2021,12/29/2021,Amazon.com*5V0IZ1023,Shopping,Sale,-7.00,
12/28/2021,12/29/2021,TJ MAXX #400,Shopping,Sale,-47.15,
12/28/2021,12/29/2021,AMZN Mktp US*AI9NV7DJ3,Shopping,Sale,-44.67,
12/27/2021,12/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-100.00,
12/27/2021,12/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
12/27/2021,12/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-25.00,
